Comment,Designator,Footprint,LCSC
batt_1S,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
batt_2S_254,J4,PinHeader_1x03_P2.54mm_Vertical,
batt_2S_PH,J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
batt_1S,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
batt_2S,J5,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
batt_1S,J9,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
batt_2S,J8,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,
batt_2S_254,J7,PinHeader_1x03_P2.54mm_Vertical,
batt_2S_PH,J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
100mil,J13,PinHeader_1x04_P2.54mm_Vertical,
HY2.0,J12,PinHeader_1x04_P2.00mm_Vertical,
PH2.0-4P,J11,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
INA219_breakout,J10,PinHeader_1x06_P2.54mm_Vertical,
